construct,construct_id,category,citation,item_no,item_text,reverse_scored,status,verified_ok (RA: yes/no),correction_if_wrong,notes
Generalized Anxiety Disorder-7 (GAD-7),gad_7,Anxiety symptoms,"Spitzer, R. L., Kroenke, K., Williams, J. B. W., & Löwe, B. (2006). A brief measure for assessing generalized anxiety disorder: The GAD-7. Archives of Internal Medicine, 166(10), 1092–1097. https://doi.org/10.1001/archinte.166.10.1092",6,Becoming easily annoyed or irritable,False,needs_verification,,,
Generalized Anxiety Disorder-7 (GAD-7),gad_7,Anxiety symptoms,"Spitzer, R. L., Kroenke, K., Williams, J. B. W., & Löwe, B. (2006). A brief measure for assessing generalized anxiety disorder: The GAD-7. Archives of Internal Medicine, 166(10), 1092–1097. https://doi.org/10.1001/archinte.166.10.1092",7,Feeling afraid as if something awful might happen,False,needs_verification,,,
Gratitude Questionnaire–Six Item Form (GQ-6),gq_6,Gratitude,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",1,I have so much in life to be thankful for.,False,needs_verification,,,
Gratitude Questionnaire–Six Item Form (GQ-6),gq_6,Gratitude,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",2,"If I had to list everything that I felt grateful for, it would be a very long list.",False,needs_verification,,,
Gratitude Questionnaire–Six Item Form (GQ-6),gq_6,Gratitude,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",3,"When I look at the world, I don't see much to be grateful for.",False,needs_verification,,,
Gratitude Questionnaire–Six Item Form (GQ-6),gq_6,Gratitude,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",4,I am grateful to a wide variety of people.,False,needs_verification,,,
Gratitude Questionnaire–Six Item Form (GQ-6),gq_6,Gratitude,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",5,"As I get older I find myself more able to appreciate the people, events, and situations that have been part of my life history.",False,needs_verification,,,
Gratitude Questionnaire–Six Item Form (GQ-6),gq_6,Gratitude,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conceptual and empirical topography. Journal of Personality and Social Psychology, 82(1), 112–127. https://doi.org/10.1037/0022-3514.82.1.112",6,Long amounts of time can go by before I feel grateful to something or someone.,False,needs_verification,,,
Consistency of interests (Grit-S),grit_s_consistency_of_interests,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",1,New ideas and projects sometimes distract me from previous ones.,True,needs_verification,,,
Consistency of interests (Grit-S),grit_s_consistency_of_interests,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",2,I have been obsessed with a certain idea or project for a short time but later lost interest.,True,needs_verification,,,
Consistency of interests (Grit-S),grit_s_consistency_of_interests,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",3,I often set a goal but later choose to pursue a different one.,True,needs_verification,,,
Consistency of interests (Grit-S),grit_s_consistency_of_interests,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",4,I have difficulty maintaining my focus on projects that take more than a few months to complete.,True,needs_verification,,,
Perseverance of effort (Grit-S),grit_s_perseverance_of_effort,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",1,Setbacks don’t discourage me.,False,needs_verification,,,
Perseverance of effort (Grit-S),grit_s_perseverance_of_effort,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",2,I am a hard worker.,False,needs_verification,,,
Perseverance of effort (Grit-S),grit_s_perseverance_of_effort,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",3,I finish whatever I begin.,False,needs_verification,,,
Perseverance of effort (Grit-S),grit_s_perseverance_of_effort,Grit,"Duckworth, A. L., & Quinn, P. D. (2009). Development and validation of the Short Grit Scale (Grit-S). Journal of Personality Assessment, 91(2), 166–174. https://doi.org/10.1080/00223890802634290",4,I am diligent.,False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",1,I can always manage to solve difficult problems if I try hard enough.,False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",2,"If someone opposes me, I can find the means and ways to get what I want.",False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",3,It is easy for me to stick to my aims and accomplish my goals.,False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",4,I am confident that I could deal efficiently with unexpected events.,False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",5,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",6,I can solve most problems if I invest the necessary effort.,False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",7,I can remain calm when facing difficulties because I can rely on my coping abilities.,False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",8,"When I am confronted with a problem, I can usually find several solutions.",False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",9,"If I am in trouble, I can usually think of a solution.",False,needs_verification,,,
General Self-Efficacy Scale (GSE),gse,General self-efficacy,"Schwarzer, R., & Jerusalem, M. (1995). Generalized Self-Efficacy Scale. In J. Weinman, S. Wright, & M. Johnston (Eds.), Measures in health psychology: A user’s portfolio. Causal and control beliefs (pp. 35–37). NFER-NELSON.",10,I can usually handle whatever comes my way.,False,needs_verification,,,
Individualism (Horizontal),individualism_horizontal,cultural-orientation,"Triandis, H. C., & Gelfand, M. J. (1998). Converging measurement of horizontal and vertical individualism and collectivism. JPSP, 74(1).",1,I'd rather depend on myself than others.,False,needs_verification,,,
Individualism (Horizontal),individualism_horizontal,cultural-orientation,"Triandis, H. C., & Gelfand, M. J. (1998). Converging measurement of horizontal and vertical individualism and collectivism. JPSP, 74(1).",2,I rely on myself most of the time; I rarely rely on others.,False,needs_verification,,,
Individualism (Horizontal),individualism_horizontal,cultural-orientation,"Triandis, H. C., & Gelfand, M. J. (1998). Converging measurement of horizontal and vertical individualism and collectivism. JPSP, 74(1).",3,I often do my own thing.,False,needs_verification,,,
Individualism (Horizontal),individualism_horizontal,cultural-orientation,"Triandis, H. C., & Gelfand, M. J. (1998). Converging measurement of horizontal and vertical individualism and collectivism. JPSP, 74(1).",4,"My personal identity, independent of others, is very important to me.",False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",1,I feel little concern for others.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",2,I am interested in people.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",3,I insult people.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",4,I sympathize with others' feelings.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",5,I am not interested in other people's problems.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",6,I have a soft heart.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",7,I am not really interested in others.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",8,I take time out for others.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",9,I feel others' emotions.,False,needs_verification,,,
Agreeableness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_agreeableness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",10,I make people feel at ease.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",1,I am always prepared.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",2,I leave my belongings around.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",3,I pay attention to details.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",4,I make a mess of things.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",5,I get chores done right away.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",6,I often forget to put things back in their proper place.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",7,I like order.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",8,I shirk my duties.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",9,I follow a schedule.,False,needs_verification,,,
Conscientiousness (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_conscientiousness,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",10,I am exacting in my work.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",1,I get stressed out easily.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",2,I am relaxed most of the time.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",3,I worry about things.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",4,I seldom feel blue.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",5,I am easily disturbed.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",6,I get upset easily.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",7,I change my mood a lot.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",8,I have frequent mood swings.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",9,I get irritated easily.,False,needs_verification,,,
Emotional Stability / Neuroticism (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_emotional_stability_neuroticism,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",10,I often feel blue.,False,needs_verification,,,
Extraversion (IPIP 50-item Big-Five Factor Markers),ipip_50_item_big_five_factor_markers_extraversion,Big Five personality traits,"Goldberg, L. R. (1992). The development of markers for the Big-Five factor structure. Psychological Assessment, 4(1), 26–42. https://doi.org/10.1037/1040-3590.4.1.26; Goldberg, L. R. (1999). A broad-bandwidth, public-domain, personality inventory measuring the lower-level facets of several five-factor models. In I. Mervielde, I. J. Deary, F. De Fruyt, & F. Ostendorf (Eds.), Personality psychology in Europe (Vol. 7, pp. 7–28). Tilburg University Press.",1,I am the life of the party.,False,needs_verification,,,
